Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance,Transmittance_%
410,209.46,122.241,0.2339,58.36
435,1263.09,438.352,0.4596,34.7
460,838.495,331.071,0.4036,39.48
485,580.641,441.118,0.1194,75.97
510,5501.135,3053.366,0.2557,55.5
535,5467.138,3262.611,0.2242,59.68
560,4811.383,2985.682,0.2072,62.05
585,9217.452,6123.258,0.1776,66.43
610,24946.318,17637.808,0.1506,70.7
645,4565.951,3317.665,0.1387,72.66
680,3266.156,2446.37,0.1255,74.9
705,1616.967,1266.824,0.106,78.35
730,1277.627,1020.476,0.0976,79.87
760,764.361,600.286,0.1049,78.53
810,1291.726,917.103,0.1488,71.0
860,378.32,266.492,0.1522,70.44
900,251.72,171.257,0.1673,68.03
940,287.641,198.52,0.161,69.02
