Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance_Calibrated,Transmittance_%
410,204.56,189.46,0.0333,92.62
435,1233.54,1100.886,0.0494,89.25
460,863.88,739.068,0.0678,85.55
485,2846.028,1562.114,0.2605,54.89
510,5318.51,1382.293,0.5852,25.99
535,5339.123,1702.399,0.4964,31.89
560,4534.783,4115.979,0.0421,90.76
585,8758.808,8899.118,0.0,100.0
610,23952.053,23512.631,0.008,98.17
645,4288.985,4386.806,0.0,100.0
680,3183.825,3217.441,0.0,100.0
705,1538.327,1536.996,0.0004,99.91
730,1242.626,1226.256,0.0058,98.68
760,741.704,733.462,0.0049,98.89
810,1246.505,1223.767,0.008,98.18
860,362.345,358.674,0.0044,98.99
900,237.604,206.612,0.0607,86.96
940,272.226,256.44,0.0259,94.2
