Scan,Scan_20251019_043657.csv
Mode,ABS
Lower,350
Upper,1000
Length,651
,,
wavelength(nm) , ABS , %T
350.0,0.006,98.63
351.0,0.006,98.63
352.0,0.006,98.63
353.0,0.006,98.63
354.0,0.006,98.63
355.0,0.006,98.63
356.0,0.006,98.63
357.0,0.006,98.63
358.0,0.007,98.40
359.0,0.007,98.40
360.0,0.009,97.95
361.0,0.009,97.95
362.0,0.009,97.95
363.0,0.009,97.95
364.0,0.009,97.95
365.0,0.009,97.95
366.0,0.009,97.95
367.0,0.009,97.95
368.0,0.008,98.17
369.0,0.008,98.17
370.0,0.008,98.17
371.0,0.008,98.17
372.0,0.008,98.17
373.0,0.008,98.17
374.0,0.008,98.17
375.0,0.008,98.17
376.0,0.008,98.17
377.0,0.008,98.17
378.0,0.009,97.95
379.0,0.008,98.17
380.0,0.008,98.17
381.0,0.008,98.17
382.0,0.009,97.95
383.0,0.008,98.17
384.0,0.009,97.95
385.0,0.009,97.95
386.0,0.009,97.95
387.0,0.009,97.95
388.0,0.009,97.95
389.0,0.009,97.95
390.0,0.009,97.95
391.0,0.009,97.95
392.0,0.009,97.95
393.0,0.009,97.95
394.0,0.009,97.95
395.0,0.009,97.95
396.0,0.009,97.95
397.0,0.009,97.95
398.0,0.009,97.95
399.0,0.009,97.95
400.0,0.009,97.95
401.0,0.009,97.95
402.0,0.009,97.95
403.0,0.009,97.95
404.0,0.009,97.95
405.0,0.009,97.95
406.0,0.009,97.95
407.0,0.009,97.95
408.0,0.009,97.95
409.0,0.009,97.95
410.0,0.009,97.95
411.0,0.009,97.95
412.0,0.010,97.72
413.0,0.010,97.72
414.0,0.010,97.72
415.0,0.010,97.72
416.0,0.010,97.72
417.0,0.010,97.72
418.0,0.010,97.72
419.0,0.010,97.72
420.0,0.012,97.27
421.0,0.012,97.27
422.0,0.012,97.27
423.0,0.012,97.27
424.0,0.012,97.27
425.0,0.012,97.27
426.0,0.012,97.27
427.0,0.012,97.27
428.0,0.012,97.27
429.0,0.012,97.27
430.0,0.012,97.27
431.0,0.012,97.27
432.0,0.012,97.27
433.0,0.012,97.27
434.0,0.012,97.27
435.0,0.012,97.27
436.0,0.012,97.27
437.0,0.012,97.27
438.0,0.012,97.27
439.0,0.012,97.27
440.0,0.012,97.27
441.0,0.012,97.27
442.0,0.012,97.27
443.0,0.012,97.27
444.0,0.012,97.27
445.0,0.012,97.27
446.0,0.012,97.27
447.0,0.012,97.27
448.0,0.012,97.27
449.0,0.012,97.27
450.0,0.012,97.27
451.0,0.012,97.27
452.0,0.012,97.27
453.0,0.012,97.27
454.0,0.012,97.27
455.0,0.013,97.05
456.0,0.013,97.05
457.0,0.013,97.05
458.0,0.013,97.05
459.0,0.013,97.05
460.0,0.013,97.05
461.0,0.013,97.05
462.0,0.013,97.05
463.0,0.013,97.05
464.0,0.013,97.05
465.0,0.013,97.05
466.0,0.013,97.05
467.0,0.013,97.05
468.0,0.013,97.05
469.0,0.013,97.05
470.0,0.013,97.05
471.0,0.013,97.05
472.0,0.013,97.05
473.0,0.013,97.05
474.0,0.013,97.05
475.0,0.013,97.05
476.0,0.013,97.05
477.0,0.013,97.05
478.0,0.013,97.05
479.0,0.013,97.05
480.0,0.013,97.05
481.0,0.013,97.05
482.0,0.013,97.05
483.0,0.013,97.05
484.0,0.013,97.05
485.0,0.013,97.05
486.0,0.013,97.05
487.0,0.013,97.05
488.0,0.013,97.05
489.0,0.013,97.05
490.0,0.013,97.05
491.0,0.013,97.05
492.0,0.013,97.05
493.0,0.013,97.05
494.0,0.013,97.05
495.0,0.013,97.05
