Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance_Calibrated,Transmittance_%
410,212.919,155.65,0.1361,73.1
435,1283.1,939.513,0.1354,73.22
460,923.115,667.238,0.141,72.28
485,2930.824,978.096,0.4766,33.37
510,5434.972,557.169,0.9892,10.25
535,5534.514,889.367,0.794,16.07
560,4774.048,3388.03,0.1489,70.97
585,9257.425,7224.24,0.1077,78.04
610,24324.323,15700.145,0.1901,64.55
645,4505.904,3052.203,0.1692,67.74
680,3293.232,2992.994,0.0415,90.88
705,1628.668,1482.202,0.0409,91.01
730,1263.364,1151.27,0.0404,91.13
760,754.932,664.779,0.0552,88.06
810,1265.412,930.899,0.1333,73.56
860,370.87,279.233,0.1233,75.29
900,251.463,158.744,0.1998,63.13
940,288.668,202.256,0.1545,70.07
