Scan,Scan_20251125_000733.csv
Mode,ABS
Lower,325
Upper,1100
Length,776
,,
wavelength(nm) , ABS , %T
325.0,0.054,88.31
326.0,0.052,88.72
327.0,0.049,89.33
328.0,0.046,89.95
329.0,0.044,90.36
330.0,0.042,90.78
331.0,0.040,91.20
332.0,0.039,91.41
333.0,0.038,91.62
334.0,0.037,91.83
335.0,0.036,92.04
336.0,0.035,92.26
337.0,0.034,92.47
338.0,0.033,92.68
339.0,0.033,92.68
340.0,0.032,92.90
341.0,0.032,92.90
342.0,0.032,92.90
343.0,0.032,92.90
344.0,0.033,92.68
345.0,0.033,92.68
346.0,0.033,92.68
347.0,0.033,92.68
348.0,0.034,92.47
349.0,0.034,92.47
350.0,0.035,92.26
351.0,0.035,92.26
352.0,0.036,92.04
353.0,0.037,91.83
354.0,0.038,91.62
355.0,0.039,91.41
356.0,0.039,91.41
357.0,0.040,91.20
358.0,0.041,90.99
359.0,0.042,90.78
360.0,0.039,91.41
361.0,0.040,91.20
362.0,0.041,90.99
363.0,0.042,90.78
364.0,0.043,90.57
365.0,0.044,90.36
366.0,0.045,90.16
367.0,0.046,89.95
368.0,0.048,89.54
369.0,0.049,89.33
370.0,0.051,88.92
371.0,0.053,88.51
372.0,0.054,88.31
373.0,0.056,87.90
374.0,0.058,87.50
375.0,0.060,87.10
376.0,0.063,86.50
377.0,0.065,86.10
378.0,0.067,85.70
379.0,0.069,85.31
380.0,0.071,84.92
381.0,0.073,84.53
382.0,0.075,84.14
383.0,0.077,83.75
384.0,0.079,83.37
385.0,0.080,83.18
386.0,0.082,82.79
387.0,0.083,82.60
388.0,0.085,82.22
389.0,0.086,82.04
390.0,0.087,81.85
391.0,0.088,81.66
392.0,0.090,81.28
393.0,0.091,81.10
394.0,0.093,80.72
395.0,0.095,80.35
396.0,0.097,79.98
397.0,0.100,79.43
398.0,0.103,78.89
399.0,0.106,78.34
400.0,0.108,77.98
401.0,0.111,77.45
402.0,0.114,76.91
403.0,0.116,76.56
404.0,0.118,76.21
405.0,0.119,76.03
406.0,0.120,75.86
407.0,0.121,75.68
408.0,0.120,75.86
409.0,0.120,75.86
410.0,0.118,76.21
411.0,0.116,76.56
412.0,0.113,77.09
413.0,0.110,77.62
414.0,0.107,78.16
415.0,0.103,78.89
416.0,0.099,79.62
417.0,0.095,80.35
418.0,0.091,81.10
419.0,0.087,81.85
420.0,0.086,82.04
421.0,0.082,82.79
422.0,0.078,83.56
423.0,0.074,84.33
424.0,0.071,84.92
425.0,0.068,85.51
426.0,0.065,86.10
427.0,0.062,86.70
428.0,0.059,87.30
429.0,0.057,87.70
430.0,0.055,88.10
431.0,0.053,88.51
432.0,0.051,88.92
433.0,0.050,89.13
434.0,0.048,89.54
435.0,0.047,89.74
436.0,0.046,89.95
437.0,0.045,90.16
438.0,0.044,90.36
439.0,0.043,90.57
440.0,0.043,90.57
441.0,0.042,90.78
442.0,0.041,90.99
443.0,0.041,90.99
444.0,0.040,91.20
445.0,0.039,91.41
446.0,0.038,91.62
447.0,0.038,91.62
448.0,0.037,91.83
449.0,0.037,91.83
450.0,0.036,92.04
451.0,0.035,92.26
452.0,0.034,92.47
453.0,0.034,92.47
