Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance_Calibrated,Transmittance_%
410,193.56,195.65,0.0,100.0
435,1151.65,1138.402,0.005,98.85
460,857.439,835.61,0.0112,97.45
485,2640.377,2694.599,0.0,100.0
510,4860.004,4950.09,0.0,100.0
535,4986.125,5035.444,0.0,100.0
560,4416.374,4366.96,0.0049,98.88
585,8244.726,8510.579,0.0,100.0
610,20690.699,22857.061,0.0,100.0
645,4036.288,4135.283,0.0,100.0
680,2884.092,3038.488,0.0,100.0
705,1468.282,1510.769,0.0,100.0
730,1101.936,1214.722,0.0,100.0
760,660.102,721.819,0.0,100.0
810,1083.165,1193.28,0.0,100.0
860,328.452,344.967,0.0,100.0
900,223.808,230.674,0.0,100.0
940,253.543,265.219,0.0,100.0
