Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance_Calibrated,Transmittance_%
410,203.76,81.764,0.3966,40.13
435,1245.027,764.894,0.2116,61.44
460,866.575,494.154,0.2439,57.02
485,2859.204,553.952,0.7128,19.37
510,5379.988,244.892,1.3418,4.55
535,5415.807,455.519,1.0752,8.41
560,4682.3,2181.085,0.3318,46.58
585,9003.373,3375.717,0.426,37.49
610,23231.027,3264.745,0.8522,14.05
645,4372.087,900.894,0.686,20.61
680,3078.644,2752.442,0.0486,89.4
705,1580.372,1406.468,0.0506,89.0
730,1195.234,1027.648,0.0656,85.98
760,714.844,543.639,0.1189,76.05
810,1204.521,392.935,0.4865,32.62
860,350.47,149.814,0.3691,42.75
900,245.496,79.499,0.4897,32.38
940,280.353,111.916,0.3988,39.92
