Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance_Calibrated,Transmittance_%
410,201.512,54.05,0.5715,26.82
435,1087.175,234.37,0.6664,21.56
460,919.941,256.836,0.5541,27.92
485,2847.381,1770.133,0.2064,62.17
510,4724.298,3973.262,0.0752,84.1
535,4835.536,3471.547,0.1439,71.79
560,4247.874,1872.983,0.3556,44.09
585,8231.416,1452.762,0.7533,17.65
610,21060.82,713.906,1.4698,3.39
645,3910.503,329.635,1.0742,8.43
680,2916.099,2501.626,0.0666,85.79
705,1485.956,1372.132,0.0346,92.34
730,1184.088,1035.988,0.058,87.49
760,709.379,540.073,0.1184,76.13
810,1124.129,234.02,0.6816,20.82
860,325.322,105.888,0.4875,32.55
900,221.562,81.938,0.432,36.98
940,256.344,96.409,0.4247,37.61
