Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance_Calibrated,Transmittance_%
410,203.68,56.3,0.5584,27.64
435,1237.43,264.291,0.6704,21.36
460,866.67,242.606,0.553,27.99
485,2852.785,1807.04,0.1983,63.34
510,5340.709,4438.831,0.0803,83.11
535,5395.872,3838.713,0.1479,71.14
560,4657.046,2052.781,0.3558,44.08
585,8980.824,1599.8,0.7493,17.81
610,23257.592,808.414,1.4589,3.48
645,4359.802,370.275,1.0709,8.49
680,3100.688,2699.502,0.0602,87.06
705,1575.732,1439.192,0.0394,91.33
730,1201.004,1044.174,0.0608,86.94
760,718.568,537.064,0.1264,74.74
810,1208.183,237.175,0.7071,19.63
860,351.01,111.386,0.4985,31.73
900,244.468,88.422,0.4417,36.17
940,279.513,102.948,0.4338,36.83
