Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance_Calibrated,Transmittance_%
410,203.76,156.455,0.1147,76.78
435,1245.027,274.572,0.6565,22.05
460,866.575,95.872,0.9561,11.06
485,2859.204,990.172,0.4605,34.63
510,5379.988,4587.293,0.0692,85.27
535,5415.807,5264.8,0.0123,97.21
560,4682.3,4677.248,0.0005,99.89
585,9003.373,9026.722,0.0,100.0
610,23231.027,23503.813,0.0,100.0
645,4372.087,4419.456,0.0,100.0
680,3078.644,3134.103,0.0,100.0
705,1580.372,1578.071,0.0006,99.85
730,1195.234,1211.446,0.0,100.0
760,714.844,721.263,0.0,100.0
810,1204.521,1214.23,0.0,100.0
860,350.47,352.412,0.0,100.0
900,245.496,236.962,0.0154,96.52
940,280.353,267.556,0.0203,95.44
