Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance_Calibrated,Transmittance_%
410,204.56,128.985,0.2003,63.05
435,1233.54,304.679,0.6073,24.7
460,863.88,115.87,0.8725,13.41
485,2846.028,241.041,1.0721,8.47
510,5318.51,278.478,1.281,5.24
535,5339.123,409.258,1.1155,7.67
560,4534.783,1596.174,0.4535,35.2
585,8758.808,7291.534,0.0796,83.25
610,23952.053,22791.943,0.0216,95.16
645,4288.985,4176.314,0.0116,97.37
680,3183.825,3052.679,0.0183,95.88
705,1538.327,1496.083,0.0121,97.25
730,1242.626,1203.89,0.0138,96.88
760,741.704,704.151,0.0226,94.94
810,1246.505,1142.523,0.0378,91.66
860,362.345,333.307,0.0363,91.99
900,237.604,166.638,0.1541,70.13
940,272.226,208.607,0.1156,76.63
