Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance_Calibrated,Transmittance_%
410,203.68,129.227,0.1976,63.45
435,1237.43,298.196,0.618,24.1
460,866.67,112.793,0.8856,13.01
485,2852.785,238.168,1.0784,8.35
510,5340.709,272.35,1.2925,5.1
535,5395.872,384.253,1.1474,7.12
560,4657.046,1571.129,0.4719,33.74
585,8980.824,7370.275,0.0858,82.07
610,23257.592,23074.339,0.0034,99.21
645,4359.802,4244.134,0.0117,97.35
680,3100.688,3134.004,0.0,100.0
705,1575.732,1526.264,0.0139,96.86
730,1201.004,1213.63,0.0,100.0
760,718.568,710.568,0.0049,98.89
810,1208.183,1154.105,0.0199,95.52
860,351.01,338.164,0.0162,96.34
900,244.468,169.333,0.1595,69.27
940,279.513,211.595,0.1209,75.7
