Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance_Calibrated,Transmittance_%
410,203.68,189.38,0.0316,92.98
435,1237.43,1093.01,0.0539,88.33
460,866.67,733.395,0.0725,84.62
485,2852.785,1535.595,0.269,53.83
510,5340.709,1342.799,0.5996,25.14
535,5395.872,1675.656,0.5079,31.05
560,4657.046,4142.17,0.0509,88.94
585,8980.824,8978.162,0.0001,99.97
610,23257.592,23619.462,0.0,100.0
645,4359.802,4416.678,0.0,100.0
680,3100.688,3243.71,0.0,100.0
705,1575.732,1553.218,0.0062,98.57
730,1201.004,1231.95,0.0,100.0
760,718.568,736.87,0.0,100.0
810,1208.183,1229.304,0.0,100.0
860,351.01,360.401,0.0,100.0
900,244.468,208.41,0.0693,85.25
940,279.513,259.054,0.033,92.68
