Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance_Calibrated,Transmittance_%
410,203.76,107.22,0.2788,52.62
435,1245.027,689.211,0.2568,55.36
460,866.575,373.862,0.3651,43.14
485,2859.204,287.069,0.9983,10.04
510,5379.988,160.931,1.5241,2.99
535,5415.807,273.949,1.296,5.06
560,4682.3,2387.544,0.2925,50.99
585,9003.373,5534.447,0.2113,61.47
610,23231.027,8870.398,0.4181,38.18
645,4372.087,1898.655,0.3622,43.43
680,3078.644,3052.075,0.0038,99.14
705,1580.372,1491.806,0.025,94.4
730,1195.234,1139.971,0.0206,95.38
760,714.844,627.857,0.0564,87.83
810,1204.521,672.265,0.2533,55.81
860,350.47,224.294,0.1938,64.0
900,245.496,110.877,0.3452,45.16
940,280.353,149.38,0.2734,53.28
