Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance_Calibrated,Transmittance_%
410,204.56,59.754,0.5345,29.21
435,1233.54,694.028,0.2498,56.26
460,863.88,607.526,0.1529,70.33
485,2846.028,2261.503,0.0998,79.46
510,5318.51,4116.61,0.1113,77.4
535,5339.123,3063.817,0.2412,57.38
560,4534.783,1248.136,0.5603,27.52
585,8758.808,569.776,1.1867,6.51
610,23952.053,225.422,2.0263,0.94
645,4288.985,148.84,1.4596,3.47
680,3183.825,2385.379,0.1254,74.92
705,1538.327,1373.786,0.0491,89.3
730,1242.626,1020.555,0.0855,82.13
760,741.704,516.15,0.1575,69.59
810,1246.505,165.638,0.8765,13.29
860,362.345,83.434,0.6378,23.03
900,237.604,68.468,0.5404,28.82
940,272.226,87.624,0.4923,32.19
