Scan,Scan_20251113_185445.csv
Mode,ABS
Lower,325
Upper,1100
Length,776
,,
wavelength(nm) , ABS , %T
325.0,0.053,88.51
326.0,0.047,89.74
327.0,0.040,91.20
328.0,0.035,92.26
329.0,0.029,93.54
330.0,0.024,94.62
331.0,0.021,95.28
332.0,0.017,96.16
333.0,0.014,96.83
334.0,0.012,97.27
335.0,0.009,97.95
336.0,0.007,98.40
337.0,0.005,98.86
338.0,0.003,99.31
339.0,0.002,99.54
340.0,0.002,99.54
341.0,0.001,99.77
342.0,0.001,99.77
343.0,0.001,99.77
344.0,0.001,99.77
345.0,0.001,99.77
346.0,0.001,99.77
347.0,0.002,99.54
348.0,0.002,99.54
349.0,0.003,99.31
350.0,0.003,99.31
351.0,0.004,99.08
352.0,0.005,98.86
353.0,0.007,98.40
354.0,0.008,98.17
355.0,0.009,97.95
356.0,0.010,97.72
357.0,0.012,97.27
358.0,0.013,97.05
359.0,0.015,96.61
360.0,0.021,95.28
361.0,0.022,95.06
362.0,0.024,94.62
363.0,0.025,94.41
364.0,0.027,93.97
365.0,0.029,93.54
366.0,0.031,93.11
367.0,0.033,92.68
368.0,0.035,92.26
369.0,0.037,91.83
370.0,0.040,91.20
371.0,0.043,90.57
372.0,0.046,89.95
373.0,0.049,89.33
374.0,0.052,88.72
375.0,0.057,87.70
376.0,0.061,86.90
377.0,0.065,86.10
378.0,0.069,85.31
379.0,0.073,84.53
380.0,0.076,83.95
381.0,0.080,83.18
382.0,0.084,82.41
383.0,0.087,81.85
384.0,0.089,81.47
385.0,0.092,80.91
386.0,0.094,80.54
387.0,0.096,80.17
388.0,0.099,79.62
389.0,0.100,79.43
390.0,0.102,79.07
391.0,0.104,78.70
392.0,0.107,78.16
393.0,0.110,77.62
394.0,0.113,77.09
395.0,0.116,76.56
396.0,0.120,75.86
397.0,0.125,74.99
398.0,0.130,74.13
399.0,0.136,73.11
400.0,0.141,72.28
401.0,0.146,71.45
402.0,0.151,70.63
403.0,0.156,69.82
404.0,0.159,69.34
405.0,0.162,68.87
406.0,0.164,68.55
407.0,0.164,68.55
408.0,0.163,68.71
409.0,0.160,69.18
410.0,0.156,69.82
411.0,0.151,70.63
412.0,0.145,71.61
413.0,0.138,72.78
414.0,0.131,73.96
415.0,0.123,75.34
416.0,0.114,76.91
417.0,0.105,78.52
418.0,0.096,80.17
419.0,0.088,81.66
420.0,0.082,82.79
421.0,0.073,84.53
422.0,0.064,86.30
423.0,0.056,87.90
424.0,0.049,89.33
425.0,0.042,90.78
426.0,0.036,92.04
427.0,0.030,93.33
428.0,0.025,94.41
429.0,0.020,95.50
430.0,0.016,96.38
431.0,0.012,97.27
432.0,0.008,98.17
433.0,0.005,98.86
434.0,0.002,99.54
435.0,0.000,100.00
436.0,-0.002,100.46
437.0,-0.004,100.93
438.0,-0.005,101.16
439.0,-0.007,101.62
440.0,-0.008,101.86
441.0,-0.009,102.09
442.0,-0.010,102.33
443.0,-0.011,102.57
444.0,-0.012,102.80
445.0,-0.012,102.80
446.0,-0.013,103.04
447.0,-0.013,103.04
448.0,-0.013,103.04
449.0,-0.014,103.28
450.0,-0.014,103.28
451.0,-0.014,103.28
452.0,-0.015,103.51
453.0,-0.015,103.51
454.0,-0.015,103.51
455.0,-0.015,103.51
456.0,-0.015,103.51
457.0,-0.015,103.51
458.0,-0.015,103.51
459.0,-0.015,103.51
460.0,-0.014,103.28
461.0,-0.014,103.28
462.0,-0.014,103.28
463.0,-0.013,103.04
464.0,-0.013,103.04
465.0,-0.012,102.80
466.0,-0.012,102.80
467.0,-0.012,102.80
468.0,-0.011,102.57
469.0,-0.011,102.57
470.0,-0.011,102.57
471.0,-0.011,102.57
472.0,-0.011,102.57
473.0,-0.011,102.57
474.0,-0.010,102.33
475.0,-0.010,102.33
476.0,-0.010,102.33
477.0,-0.010,102.33
478.0,-0.009,102.09
479.0,-0.009,102.09
480.0,-0.008,101.86
481.0,-0.008,101.86
482.0,-0.007,101.62
483.0,-0.007,101.62
484.0,-0.007,101.62
485.0,-0.006,101.39
486.0,-0.006,101.39
487.0,-0.005,101.16
488.0,-0.005,101.16
489.0,-0.004,100.93
490.0,-0.004,100.93
491.0,-0.003,100.69
492.0,-0.003,100.69
493.0,-0.002,100.46
494.0,-0.001,100.23
495.0,-0.001,100.23
496.0,0.000,100.00
497.0,0.001,99.77
498.0,0.002,99.54
499.0,0.003,99.31
500.0,0.006,98.63
501.0,0.007,98.40
502.0,0.008,98.17
503.0,0.009,97.95
504.0,0.010,97.72
505.0,0.011,97.50
506.0,0.012,97.27
507.0,0.014,96.83
508.0,0.015,96.61
509.0,0.016,96.38
510.0,0.018,95.94
511.0,0.019,95.72
512.0,0.020,95.50
513.0,0.022,95.06
514.0,0.024,94.62
515.0,0.025,94.41
516.0,0.027,93.97
517.0,0.029,93.54
518.0,0.030,93.33
519.0,0.033,92.68
520.0,0.034,92.47
521.0,0.037,91.83
522.0,0.039,91.41
523.0,0.041,90.99
524.0,0.043,90.57
525.0,0.046,89.95
526.0,0.049,89.33
527.0,0.051,88.92
528.0,0.054,88.31
529.0,0.056,87.90
530.0,0.059,87.30
531.0,0.063,86.50
532.0,0.066,85.90
533.0,0.069,85.31
534.0,0.072,84.72
535.0,0.075,84.14
536.0,0.079,83.37
537.0,0.083,82.60
538.0,0.087,81.85
539.0,0.090,81.28
540.0,0.094,80.54
541.0,0.098,79.80
542.0,0.103,78.89
543.0,0.108,77.98
544.0,0.112,77.27
545.0,0.117,76.38
546.0,0.122,75.51
547.0,0.128,74.47
548.0,0.134,73.45
549.0,0.140,72.44
550.0,0.147,71.29
551.0,0.153,70.31
552.0,0.159,69.34
553.0,0.167,68.08
554.0,0.175,66.83
555.0,0.182,65.77
556.0,0.190,64.57
557.0,0.199,63.24
558.0,0.208,61.94
559.0,0.218,60.53
560.0,0.228,59.16
561.0,0.238,57.81
562.0,0.249,56.36
563.0,0.259,55.08
564.0,0.271,53.58
565.0,0.282,52.24
566.0,0.293,50.93
567.0,0.305,49.55
568.0,0.317,48.19
569.0,0.329,46.88
570.0,0.343,45.39
571.0,0.356,44.06
572.0,0.368,42.85
573.0,0.381,41.59
574.0,0.393,40.46
575.0,0.405,39.36
576.0,0.418,38.19
577.0,0.430,37.15
578.0,0.441,36.22
579.0,0.453,35.24
580.0,0.463,34.43
581.0,0.475,33.50
582.0,0.487,32.58
583.0,0.498,31.77
584.0,0.509,30.97
585.0,0.519,30.27
586.0,0.529,29.58
587.0,0.541,28.77
588.0,0.552,28.05
589.0,0.563,27.35
590.0,0.574,26.67
591.0,0.585,26.00
592.0,0.598,25.23
593.0,0.612,24.43
594.0,0.626,23.66
595.0,0.640,22.91
596.0,0.656,22.08
597.0,0.672,21.28
598.0,0.692,20.32
599.0,0.712,19.41
600.0,0.732,18.54
601.0,0.754,17.62
602.0,0.778,16.67
603.0,0.806,15.63
604.0,0.836,14.59
605.0,0.867,13.58
606.0,0.900,12.59
607.0,0.934,11.64
608.0,0.969,10.74
609.0,1.009,9.79
610.0,1.050,8.91
611.0,1.087,8.18
612.0,1.127,7.46
613.0,1.168,6.79
614.0,1.212,6.14
615.0,1.259,5.51
616.0,1.303,4.98
617.0,1.348,4.49
618.0,1.390,4.07
619.0,1.430,3.72
620.0,1.473,3.37
621.0,1.513,3.07
622.0,1.547,2.84
623.0,1.578,2.64
624.0,1.608,2.47
625.0,1.633,2.33
626.0,1.655,2.21
627.0,1.670,2.14
628.0,1.679,2.09
629.0,1.682,2.08
630.0,1.678,2.10
631.0,1.668,2.15
632.0,1.651,2.23
633.0,1.630,2.34
634.0,1.602,2.50
635.0,1.568,2.70
636.0,1.528,2.96
637.0,1.478,3.33
638.0,1.428,3.73
639.0,1.374,4.23
640.0,1.321,4.78
641.0,1.262,5.47
642.0,1.201,6.30
643.0,1.137,7.29
644.0,1.076,8.39
645.0,1.017,9.62
646.0,0.958,11.02
647.0,0.895,12.74
648.0,0.832,14.72
649.0,0.775,16.79
650.0,0.718,19.14
651.0,0.669,21.43
652.0,0.622,23.88
653.0,0.572,26.79
654.0,0.526,29.79
655.0,0.487,32.58
656.0,0.448,35.65
657.0,0.413,38.64
658.0,0.376,42.07
659.0,0.341,45.60
660.0,0.308,49.20
661.0,0.278,52.72
662.0,0.253,55.85
663.0,0.228,59.16
664.0,0.205,62.37
665.0,0.184,65.46
666.0,0.168,67.92
667.0,0.153,70.31
668.0,0.140,72.44
669.0,0.127,74.64
670.0,0.115,76.74
671.0,0.103,78.89
672.0,0.094,80.54
673.0,0.084,82.41
674.0,0.075,84.14
675.0,0.067,85.70
676.0,0.059,87.30
677.0,0.053,88.51
678.0,0.047,89.74
679.0,0.041,90.99
680.0,0.036,92.04
681.0,0.031,93.11
682.0,0.027,93.97
683.0,0.023,94.84
684.0,0.020,95.50
685.0,0.017,96.16
686.0,0.014,96.83
687.0,0.011,97.50
688.0,0.009,97.95
689.0,0.007,98.40
690.0,0.005,98.86
691.0,0.003,99.31
692.0,0.002,99.54
693.0,0.000,100.00
694.0,-0.001,100.23
695.0,-0.002,100.46
696.0,-0.003,100.69
697.0,-0.004,100.93
698.0,-0.005,101.16
699.0,-0.006,101.39
700.0,-0.007,101.62
701.0,-0.007,101.62
702.0,-0.008,101.86
703.0,-0.009,102.09
704.0,-0.009,102.09
705.0,-0.010,102.33
706.0,-0.010,102.33
707.0,-0.011,102.57
708.0,-0.011,102.57
709.0,-0.011,102.57
710.0,-0.012,102.80
711.0,-0.012,102.80
712.0,-0.012,102.80
713.0,-0.013,103.04
714.0,-0.013,103.04
715.0,-0.013,103.04
716.0,-0.013,103.04
717.0,-0.013,103.04
718.0,-0.014,103.28
719.0,-0.014,103.28
720.0,-0.014,103.28
721.0,-0.014,103.28
722.0,-0.014,103.28
723.0,-0.014,103.28
724.0,-0.014,103.28
725.0,-0.014,103.28
726.0,-0.015,103.51
727.0,-0.015,103.51
728.0,-0.015,103.51
729.0,-0.015,103.51
730.0,-0.015,103.51
731.0,-0.015,103.51
732.0,-0.015,103.51
733.0,-0.015,103.51
734.0,-0.015,103.51
735.0,-0.015,103.51
736.0,-0.015,103.51
737.0,-0.015,103.51
738.0,-0.016,103.75
739.0,-0.016,103.75
740.0,-0.016,103.75
741.0,-0.016,103.75
742.0,-0.015,103.51
743.0,-0.016,103.75
744.0,-0.016,103.75
745.0,-0.016,103.75
746.0,-0.016,103.75
747.0,-0.016,103.75
748.0,-0.016,103.75
749.0,-0.016,103.75
750.0,-0.016,103.75
751.0,-0.016,103.75
752.0,-0.016,103.75
753.0,-0.016,103.75
754.0,-0.016,103.75
755.0,-0.016,103.75
756.0,-0.016,103.75
757.0,-0.016,103.75
758.0,-0.016,103.75
759.0,-0.016,103.75
760.0,-0.016,103.75
761.0,-0.016,103.75
762.0,-0.016,103.75
763.0,-0.016,103.75
764.0,-0.016,103.75
765.0,-0.016,103.75
766.0,-0.016,103.75
767.0,-0.016,103.75
768.0,-0.016,103.75
769.0,-0.016,103.75
770.0,-0.016,103.75
771.0,-0.016,103.75
772.0,-0.016,103.75
773.0,-0.016,103.75
774.0,-0.016,103.75
775.0,-0.016,103.75
776.0,-0.016,103.75
777.0,-0.016,103.75
778.0,-0.016,103.75
779.0,-0.016,103.75
780.0,-0.016,103.75
781.0,-0.016,103.75
782.0,-0.016,103.75
783.0,-0.016,103.75
784.0,-0.016,103.75
785.0,-0.016,103.75
786.0,-0.016,103.75
787.0,-0.016,103.75
788.0,-0.016,103.75
789.0,-0.016,103.75
790.0,-0.016,103.75
791.0,-0.016,103.75
792.0,-0.016,103.75
793.0,-0.016,103.75
794.0,-0.016,103.75
795.0,-0.016,103.75
796.0,-0.016,103.75
797.0,-0.016,103.75
798.0,-0.016,103.75
799.0,-0.016,103.75
800.0,-0.016,103.75
801.0,-0.016,103.75
802.0,-0.016,103.75
803.0,-0.016,103.75
804.0,-0.016,103.75
805.0,-0.016,103.75
806.0,-0.016,103.75
807.0,-0.016,103.75
808.0,-0.016,103.75
809.0,-0.016,103.75
810.0,-0.016,103.75
811.0,-0.017,103.99
812.0,-0.016,103.75
813.0,-0.016,103.75
814.0,-0.016,103.75
815.0,-0.016,103.75
816.0,-0.016,103.75
817.0,-0.016,103.75
818.0,-0.016,103.75
819.0,-0.016,103.75
820.0,-0.016,103.75
821.0,-0.016,103.75
822.0,-0.016,103.75
823.0,-0.016,103.75
824.0,-0.016,103.75
825.0,-0.016,103.75
826.0,-0.016,103.75
827.0,-0.016,103.75
828.0,-0.016,103.75
829.0,-0.016,103.75
830.0,-0.016,103.75
831.0,-0.016,103.75
832.0,-0.016,103.75
833.0,-0.016,103.75
834.0,-0.016,103.75
835.0,-0.016,103.75
836.0,-0.016,103.75
837.0,-0.016,103.75
838.0,-0.016,103.75
839.0,-0.016,103.75
840.0,-0.016,103.75
841.0,-0.016,103.75
842.0,-0.016,103.75
843.0,-0.016,103.75
844.0,-0.016,103.75
845.0,-0.016,103.75
846.0,-0.016,103.75
